paper_id,title,authors,year,venue,doi,abstract,keywords,source_db,export_file,is_preprint,version_group_id
8d08019fb608,Applications of Quantum Machine Learning for Quantitative Finance,Piotr Mironowicz; Akshata Shenoy H.; Antonio Mandarino; A. Ege Yilmaz; Thomas Ankenbrand,2024,arXiv,,"Machine learning and quantum machine learning (QML) have gained significant importance, as they offer powerful tools for tackling complex computational problems across various domains. This work gives an extensive overview of QML uses in quantitative finance, an important discipline in the financial industry. We examine the connection between quantum computing and machine learning in financial applications, spanning a range of use cases including fraud detection, underwriting, Value at Risk, stock market prediction, portfolio optimization, and option pricing by overviewing the corpus of literature concerning various financial subdomains.",quant-ph,arxiv,api_search_arxiv.json,1,
96baad0b46a9,Quantum computational finance: Monte Carlo pricing of financial derivatives,Patrick Rebentrost; Brajesh Gupt; Thomas R. Bromley,2018,arXiv,10.1103/PhysRevA.98.022321,"Financial derivatives are contracts that can have a complex payoff dependent upon underlying benchmark assets. In this work, we present a quantum algorithm for the Monte Carlo pricing of financial derivatives. We show how the relevant probability distributions can be prepared in quantum superposition, the payoff functions can be implemented via quantum circuits, and the price of financial derivatives can be extracted via quantum measurements. We show how the amplitude estimation algorithm can be applied to achieve a quadratic quantum speedup in the number of steps required to obtain an estimate for the price with high confidence. This work provides a starting point for further research at the interface of quantum computing and finance.",quant-ph,arxiv,api_search_arxiv.json,1,
b43110ee807d,Quantum Risk Analysis of Financial Derivatives,Nikitas Stamatopoulos; B. David Clader; Stefan Woerner; William J. Zeng,2024,arXiv,,"We introduce two quantum algorithms to compute the Value at Risk (VaR) and Conditional Value at Risk (CVaR) of financial derivatives using quantum computers: the first by applying existing ideas from quantum risk analysis to derivative pricing, and the second based on a novel approach using Quantum Signal Processing (QSP). Previous work in the literature has shown that quantum advantage is possible in the context of individual derivative pricing and that advantage can be leveraged in a straightforward manner in the estimation of the VaR and CVaR. The algorithms we introduce in this work aim to provide an additional advantage by encoding the derivative price over multiple market scenarios in superposition and computing the desired values by applying appropriate transformations to the quantum system. We perform complexity and error analysis of both algorithms, and show that while the two algorithms have the same asymptotic scaling the QSP-based approach requires significantly fewer quantum resources for the same target accuracy. Additionally, by numerically simulating both quantum and classical VaR algorithms, we demonstrate that the quantum algorithm can extract additional advantage from a quantum computer compared to individual derivative pricing. Specifically, we show that under certain conditions VaR estimation can lower the latest published estimates of the logical clock rate required for quantum advantage in derivative pricing by up to $\sim 30$x. In light of these results, we are encouraged that our formulation of derivative pricing in the QSP framework may be further leveraged for quantum advantage in other relevant financial applications, and that quantum computers could be harnessed more efficiently by considering problems in the financial sector at a higher level.",quant-ph; q-fin.CP,arxiv,api_search_arxiv.json,1,
0a824fa99e38,Implementing Credit Risk Analysis with Quantum Singular Value Transformation,Davide Veronelli; Francesca Cibrario; Emanuele Dri; Valeria Zaffaroni; Giacomo Ranieri; Davide Corbelletto; Bartolomeo Montrucchio,2025,arXiv,,"The analysis of credit risk is crucial for the efficient operation of financial institutions. Quantum Amplitude Estimation (QAE) offers the potential for a quadratic speed-up over classical methods used to estimate metrics such as Value at Risk (VaR) and Conditional Value at Risk (CVaR). However, numerous limitations remain in efficiently scaling the implementation of quantum circuits that solve these estimation problems. One of the main challenges is the use of costly and restrictive arithmetic that must be implemented within the quantum circuit. In this paper, we propose using Quantum Singular Value Transformation (QSVT) to significantly reduce the cost of implementing the state preparation operator, which underlies QAE for credit risk analysis. We also present an end-to-end code implementation and the results of a simulation study to validate the proposed approach and demonstrate its benefits.",quant-ph; cs.ET; q-fin.RM,arxiv,api_search_arxiv.json,1,
631717352091,Monte-Carlo Option Pricing in Quantum Parallel,Robert Scriba; Yuying Li; Jingbo B Wang,2025,arXiv,,"Financial derivative pricing is a significant challenge in finance, involving the valuation of instruments like options based on underlying assets. While some cases have simple solutions, many require complex classical computational methods like Monte Carlo simulations and numerical techniques. However, as derivative complexities increase, these methods face limitations in computational power. Cases involving Non-Vanilla Basket pricing, American Options, and derivative portfolio risk analysis need extensive computations in higher-dimensional spaces, posing challenges for classical computers.   Quantum computing presents a promising avenue by harnessing quantum superposition and entanglement, allowing the handling of high-dimensional spaces effectively. In this paper, we introduce a self-contained and all-encompassing quantum algorithm that operates without reliance on oracles or presumptions. More specifically, we develop an effective stochastic method for simulating exponentially many potential asset paths in quantum parallel, leading to a highly accurate final distribution of stock prices. Furthermore, we demonstrate how this algorithm can be extended to price more complex options and analyze risk within derivative portfolios.",q-fin.CP; quant-ph,arxiv,api_search_arxiv.json,1,
c434305b37fb,Quantum Circuit-Based Adaptation for Credit Risk Analysis,Halima Giovanna Ahmad; Alessandro Sarno; Mehdi El Bakraoui; Carlo Cosenza; Clément Bésoin; Francesca Cibrario; Valeria Zaffaroni; Giacomo Ranieri; Roberto Bertilone; Viviana Stasino; Pasquale Mastrovito; Francesco Tafuri; Davide Massarotti; Leonardo Chabbra; Davide Corbelletto,2026,arXiv,,"Noisy and Intermediate-Scale Quantum, or NISQ, processors are sensitive to noise, prone to quantum decoherence, and are not yet capable of continuous quantum error correction for fault-tolerant quantum computation. Hence, quantum algorithms designed in the pre-fault-tolerant era cannot neglect the noisy nature of the hardware, and investigating the relationship between quantum hardware performance and the output of quantum algorithms is essential. In this work, we experimentally study how hardware-aware variational quantum circuits on a superconducting quantum processing unit can model distributions relevant to specific use-case applications for Credit Risk Analysis, e.g., standard Gaussian distributions for latent factor loading in the Gaussian Conditional Independence model. We use a transpilation technique tailored to the specific quantum hardware topology, which minimizes gate depth and connectivity violations, and we calibrate the gate rotations of the circuit to achieve an optimized output from quantum algorithms. Our results demonstrate the viability of quantum adaptation on a small-scale, proof-of-concept model inspired by financial applications and offer a good starting point for understanding the practical use of NISQ devices.",quant-ph; cond-mat.supr-con,arxiv,api_search_arxiv.json,1,
1bf880322e6f,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,Dylan Herman; Yue Sun; Jin-Peng Liu; Marco Pistoia; Charlie Che; Rob Otter; Shouvanik Chakrabarti; Aram Harrow,2026,arXiv,,"This paper explores advancements in quantum algorithms for derivative pricing of exotics, a computational pipeline of fundamental importance in quantitative finance. For such cases, the classical Monte Carlo integration procedure provides the state-of-the-art provable, asymptotic performance: polynomial in problem dimension and quadratic in inverse-precision. While quantum algorithms are known to offer quadratic speedups over classical Monte Carlo methods, end-to-end speedups have been proven only in the simplified setting over the Black-Scholes geometric Brownian motion (GBM) model. This paper extends existing frameworks to demonstrate novel quadratic speedups for more practical models, such as the Cox-Ingersoll-Ross (CIR) model and a variant of Heston's stochastic volatility model, utilizing a characteristic of the underlying SDEs which we term fast-forwardability. Additionally, for general models that do not possess the fast-forwardable property, we introduce a quantum Milstein sampler, based on a novel quantum algorithm for sampling Lévy areas, which enables quantum multi-level Monte Carlo to achieve quadratic speedups for multi-dimensional stochastic processes exhibiting certain correlation types.   We also present an improved analysis of numerical integration for derivative pricing, leading to substantial reductions in the resource requirements for pricing GBM and CIR models. Furthermore, we investigate the potential for additional reductions using arithmetic-free quantum procedures. Finally, we critique quantum partial differential equation (PDE) solvers as a method for derivative pricing based on amplitude estimation, identifying theoretical barriers that obstruct achieving a quantum speedup through this approach. Our findings significantly advance the understanding of quantum algorithms in derivative pricing, addressing key challenges and open questions in the field.",quant-ph; cs.DS; q-fin.CP; q-fin.MF,arxiv,api_search_arxiv.json,1,
1993ad0237f3,Quantum computing for finance: overview and prospects,Roman Orus; Samuel Mugel; Enrique Lizaso,2018,arXiv,10.1016/j.revip.2019.100028,"We discuss how quantum computation can be applied to financial problems, providing an overview of current approaches and potential prospects. We review quantum optimization algorithms, and expose how quantum annealers can be used to optimize portfolios, find arbitrage opportunities, and perform credit scoring. We also discuss deep-learning in finance, and suggestions to improve these methods through quantum machine learning. Finally, we consider quantum amplitude estimation, and how it can result in a quantum speed-up for Monte Carlo sampling. This has direct applications to many current financial methods, including pricing of derivatives and risk analysis. Perspectives are also discussed.",quant-ph,arxiv,api_search_arxiv.json,1,
e366a47d08de,"Quantum Monte Carlo simulations for financial risk analytics: scenario generation for equity, rate, and credit risk factors",Titos Matsakos; Stuart Nield,2023,arXiv,10.22331/q-2024-04-04-1306,"Monte Carlo (MC) simulations are widely used in financial risk management, from estimating value-at-risk (VaR) to pricing over-the-counter derivatives. However, they come at a significant computational cost due to the number of scenarios required for convergence. If a probability distribution is available, Quantum Amplitude Estimation (QAE) algorithms can provide a quadratic speed-up in measuring its properties as compared to their classical counterparts. Recent studies have explored the calculation of common risk measures and the optimisation of QAE algorithms by initialising the input quantum states with pre-computed probability distributions. If such distributions are not available in closed form, however, they need to be generated numerically, and the associated computational cost may limit the quantum advantage. In this paper, we bypass this challenge by incorporating scenario generation -- i.e. simulation of the risk factor evolution over time to generate probability distributions -- into the quantum computation; we refer to this process as Quantum MC (QMC) simulations. Specifically, we assemble quantum circuits that implement stochastic models for equity (geometric Brownian motion), interest rate (mean-reversion models), and credit (structural, reduced-form, and rating migration credit models) risk factors. We then integrate these models with QAE to provide end-to-end examples for both market and credit risk use cases.",quant-ph; q-fin.RM,arxiv,api_search_arxiv.json,1,
f123e5ead03b,Bermudan option pricing by quantum amplitude estimation and Chebyshev interpolation,Koichi Miyamoto,2021,arXiv,,"Pricing of financial derivatives, in particular early exercisable options such as Bermudan options, is an important but heavy numerical task in financial institutions, and its speed-up will provide a large business impact. Recently, applications of quantum computing to financial problems have been started to be investigated. In this paper, we first propose a quantum algorithm for Bermudan option pricing. This method performs the approximation of the continuation value, which is a crucial part of Bermudan option pricing, by Chebyshev interpolation, using the values at interpolation nodes estimated by quantum amplitude estimation. In this method, the number of calls to the oracle to generate underlying asset price paths scales as $\widetilde{O}(ε^{-1})$, where $ε$ is the error tolerance of the option price. This means the quadratic speed-up compared with classical Monte Carlo-based methods such as least-squares Monte Carlo, in which the oracle call number is $\widetilde{O}(ε^{-2})$.",quant-ph; q-fin.CP; q-fin.PR,arxiv,api_search_arxiv.json,1,
