paper_id,title,authors,year,venue,doi,abstract,keywords,source_db,export_file,is_preprint,version_group_id
7f05070ca8d9,Multiclass portfolio optimization via variational quantum Eigensolver with Dicke state ansatz,Scursulim J.V.S.,2026,Scientific Reports,10.1038/s41598-026-36333-4,,,scopus,api_search_scopus.json,0,
74a4eddb7960,Contextual quantum neural networks for stock price prediction,Mourya S.,2026,Scientific Reports,10.1038/s41598-025-34413-5,,,scopus,api_search_scopus.json,0,
f12303306c16,Quantum-Inspired Hybrid Machine Learning Framework for Scalable Computational Next-Generation Technologies,Balasubramanian K.,2026,International Journal of Computational Intelligence Systems,10.1007/s44196-026-01191-5,,,scopus,api_search_scopus.json,0,
31a15f3311c8,Quantum algorithm for solving McKean-Vlasov stochastic differential equations,Miyamoto K.,2026,EPJ Quantum Technology,10.1140/epjqt/s40507-025-00453-z,,,scopus,api_search_scopus.json,0,
7e0554b6aeee,"Mapping the quantum computing landscape: growth, collaboration, and thematic convergence",Conde-Torres D.,2026,EPJ Quantum Technology,10.1140/epjqt/s40507-026-00464-4,,,scopus,api_search_scopus.json,0,
753bbdcd489d,Integrating artificial intelligence and quantum computing: A systematic literature review of features and applications,Pineda V.G.,2026,International Journal of Cognitive Computing in Engineering,10.1016/j.ijcce.2025.08.002,,,scopus,api_search_scopus.json,0,
df615a56da6a,A versatile coherent Ising computing platform,Wei H.,2026,Light Science and Applications,10.1038/s41377-025-02178-1,,,scopus,api_search_scopus.json,0,
6a91efccfe86,A study on a hybrid autoencoder–QLSTM model for time series forecasting based on quantum machine learning,Jang H.,2026,Quantum Machine Intelligence,10.1007/s42484-026-00346-z,,,scopus,api_search_scopus.json,0,
bfd3458cc95c,Quantifying adoption: A SEM study of quantum software technology in software development,Lambiase S.,2026,Empirical Software Engineering,10.1007/s10664-026-10805-7,,,scopus,api_search_scopus.json,0,
14b874d32300,A quantum neural network with built-in self-attention mechanism,Shi S.,2026,Neurocomputing,10.1016/j.neucom.2026.132862,,,scopus,api_search_scopus.json,0,
e3efe8612f0d,Quantum artificial intelligence: A comprehensive survey,Jiang H.,2026,Meta Radiology,10.1016/j.metrad.2026.100205,,,scopus,api_search_scopus.json,0,
7aad35fe5080,Ordered Weighted Average Operators Into Deep Learning and Quantum Computing for Algorithmic Trading,Alaminos D.,2026,Intelligent Systems in Accounting Finance and Management,10.1002/isaf.70033,,,scopus,api_search_scopus.json,0,
eb87688e3863,Quantum Frontiers in the Battle for Information Integrity,Loia V.,2026,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,10.1002/widm.70067,,,scopus,api_search_scopus.json,0,
851cb5f085fa,A survey on secure multi-party computation techniques based on private set intersection,Meng G.,2026,Computer Standards and Interfaces,10.1016/j.csi.2025.104067,,,scopus,api_search_scopus.json,0,
bf7b93f600c8,Comparative performance analysis of quantum machine learning architectures for credit card fraud detection,El Alami M.,2026,Applied Intelligence,10.1007/s10489-026-07110-7,,,scopus,api_search_scopus.json,0,
0f7856a5d245,Qnnformer: quantum-enhanced neural networks with multi-attention mechanisms for long-term time series forecasting,Tang Y.,2026,Quantum Information Processing,10.1007/s11128-026-05085-5,,,scopus,api_search_scopus.json,0,
08b72d7f154e,User-driven cross cloud-domain authentication and key agreement scheme with quantum entanglement swapping,Xu X.,2026,International Journal of Quantum Information,10.1142/S0219749926500036,,,scopus,api_search_scopus.json,0,
2588045b91db,Quantum generative modeling for financial time series with temporal correlations,Dechant D.,2026,Machine Learning Science and Technology,10.1088/2632-2153/ae39a2,,,scopus,api_search_scopus.json,0,
330e8dd0e0d4,QuPepFold: A python package for hybrid quantum-classical protein folding simulations with CVaR-optimized VQE,Uttarkar A.,2026,Plos One,10.1371/journal.pone.0342012,,,scopus,api_search_scopus.json,0,
437af8ea4599,Mapping Quantum Computing Techniques for NP-Hard Problems in Operations Management and Operations Research,Assad D.B.N.,2026,Engineering Reports,10.1002/eng2.70604,,,scopus,api_search_scopus.json,0,
c05cd985bd1b,Cryptanalysis of the Quantum Blind Signature Scheme for Supply Chain Finance and Its Improvement,Zhang J.H.,2026,Advanced Quantum Technologies,10.1002/qute.202500785,,,scopus,api_search_scopus.json,0,
28cd858e9da6,A Review of Routing and Resource Optimization in Quantum Networks,Shaon M.S.H.,2026,Electronics Switzerland,10.3390/electronics15030557,,,scopus,api_search_scopus.json,0,
a519a5621884,Advancing Stock Price Prediction and Algorithmic Trading: Quantum Machine Learning for High-Frequency Optimization,Sharmila C.,2026,International Research Journal of Multidisciplinary Technovation,10.54392/irjmt26114,,,scopus,api_search_scopus.json,0,
d1d94604a9f6,Quantum Monte Carlo simulations,Jung H.,2026,Advances in Computers,10.1016/bs.adcom.2025.07.008,,,scopus,api_search_scopus.json,0,
3751a9842233,"1st International Conference on Quantum Engineering Sciences and Technologies for Industry and Services, QUEST-IS 2025",,2026,Communications in Computer and Information Science,,,,scopus,api_search_scopus.json,0,
0fd25bb2fc0b,Quantum optimization techniques and applications,Lee E.,2026,Advances in Computers,10.1016/bs.adcom.2025.06.001,,,scopus,api_search_scopus.json,0,
5e831b090a7f,Quantum Computing Models for Financial Analysis,Herrero-Gómez P.,2026,Lecture Notes in Networks and Systems,10.1007/978-3-032-08381-4_14,,,scopus,api_search_scopus.json,0,
4dfbf545b513,Hybrid Model of Chaos Theory and Quantum Techniques for Portfolio Optimization,Deepali ,2026,Lecture Notes in Networks and Systems,10.1007/978-981-96-7520-3_18,,,scopus,api_search_scopus.json,0,
91ff4ce120da,Quantum Applications in the Business Landscape: Potentials of the Upcoming Era of Digital Transformation,Šmaguc T.,2026,Lecture Notes in Networks and Systems,10.1007/978-3-032-10721-3_37,,,scopus,api_search_scopus.json,0,
27db40cbbeff,"Quantum Computing’s Role in Finance, Consumer Behaviour, Blockchain, Digital Marketing, Stock Market Predictions",Jain A.,2026,Studies in Big Data,10.1007/978-3-032-00586-1_14,,,scopus,api_search_scopus.json,0,
ce66fa96d917,A Novel Decomposition-Ensemble Approach for Forecasting Stock Price With Quantum Neural Network and Big Data,Liu S.,2026,Journal of Forecasting,10.1002/for.70047,,,scopus,api_search_scopus.json,0,
e7dc24e96c45,Toward Quantum Utility in Finance: A Robust Data-Driven Algorithm for Asset Clustering,Sharma S.,2026,Communications in Computer and Information Science,10.1007/978-3-032-13855-2_2,,,scopus,api_search_scopus.json,0,
0e0bb248329b,Quantum Computing and Artificial Intelligence: A Convergence for Future Innovations,Ashrif F.F.,2026,Studies in Computational Intelligence,10.1007/978-3-032-00232-7_27,,,scopus,api_search_scopus.json,0,
de8a36411074,Transforming machine learning: An exploration of quantum algorithms and their applications,Naga Pawan Y.V.R.,2026,Advances in Computers,10.1016/bs.adcom.2025.06.005,,,scopus,api_search_scopus.json,0,
0b5dbb0ebadb,Detecting Financial Fraud: A Comparative Study of Quantum-Based Supervised Learning Algorithms,Khattak F.,2026,Lecture Notes in Networks and Systems,10.1007/978-981-96-9184-5_12,,,scopus,api_search_scopus.json,0,
