paper_id,title,authors,year,venue,doi,abstract,keywords,source_db,export_file,is_preprint,version_group_id
74a4eddb7960,Contextual quantum neural networks for stock price prediction,Mourya S.,2026,Scientific Reports,10.1038/s41598-025-34413-5,,,scopus,api_search_scopus.json,0,
753bbdcd489d,Integrating artificial intelligence and quantum computing: A systematic literature review of features and applications,Pineda V.G.,2026,International Journal of Cognitive Computing in Engineering,10.1016/j.ijcce.2025.08.002,,,scopus,api_search_scopus.json,0,
31a15f3311c8,Quantum algorithm for solving McKean-Vlasov stochastic differential equations,Miyamoto K.,2026,EPJ Quantum Technology,10.1140/epjqt/s40507-025-00453-z,,,scopus,api_search_scopus.json,0,
973fc57ec45e,A universal black-box quantum Monte Carlo approach to quantum phase transitions,Ezzell N.,2026,Npj Computational Materials,10.1038/s41524-025-01891-0,,,scopus,api_search_scopus.json,0,
f12303306c16,Quantum-Inspired Hybrid Machine Learning Framework for Scalable Computational Next-Generation Technologies,Balasubramanian K.,2026,International Journal of Computational Intelligence Systems,10.1007/s44196-026-01191-5,,,scopus,api_search_scopus.json,0,
7e0554b6aeee,"Mapping the quantum computing landscape: growth, collaboration, and thematic convergence",Conde-Torres D.,2026,EPJ Quantum Technology,10.1140/epjqt/s40507-026-00464-4,,,scopus,api_search_scopus.json,0,
2388d3394cfc,Addressing general measurements in quantum Monte Carlo,Wang Z.,2026,Nature Communications,10.1038/s41467-025-67324-0,,,scopus,api_search_scopus.json,0,
7f05070ca8d9,Multiclass portfolio optimization via variational quantum Eigensolver with Dicke state ansatz,Scursulim J.V.S.,2026,Scientific Reports,10.1038/s41598-026-36333-4,,,scopus,api_search_scopus.json,0,
c6c4184b2fdb,Quantum advantage for learning shallow neural networks with natural data distributions,Lewis L.,2026,Nature Communications,10.1038/s41467-025-68097-2,,,scopus,api_search_scopus.json,0,
33b43809413d,Classical criticality via quantum annealing,Sathe P.,2026,Nature Communications,10.1038/s41467-025-67568-w,,,scopus,api_search_scopus.json,0,
f922ca09560e,Generalized Probabilistic Approximate Optimization Algorithm,Abdelrahman A.S.,2026,Nature Communications,10.1038/s41467-025-67187-5,,,scopus,api_search_scopus.json,0,
65f197bcbfc8,Interlayer pairing in bilayer nickelates,Maier T.A.,2026,Npj Quantum Materials,10.1038/s41535-026-00849-9,,,scopus,api_search_scopus.json,0,
688727e668e2,Quantum Angle–distance kernel for ECG classification and anomaly detection: a quantum-inspired framework for biomedical signal analysis,Salehi A.,2026,Biodata Mining,10.1186/s13040-026-00519-3,,,scopus,api_search_scopus.json,0,
df615a56da6a,A versatile coherent Ising computing platform,Wei H.,2026,Light Science and Applications,10.1038/s41377-025-02178-1,,,scopus,api_search_scopus.json,0,
296cb62f5c14,Analysis of financial distress risk in public listed agrifood companies in Lithuania,Andriuskevicius K.,2026,Agricultural and Food Economics,10.1186/s40100-025-00449-4,,,scopus,api_search_scopus.json,0,
6bf3ee78a433,Robust and compact reversible logic gate for low-power and high-performance computing,Rajput A.,2026,Scientific Reports,10.1038/s41598-025-29369-5,,,scopus,api_search_scopus.json,0,
5730079e9dda,Strongly anharmonic flux-tunable transmon based on InAs-Al 2D heterostructure,Liu S.,2026,Nature Communications,10.1038/s41467-025-67420-1,,,scopus,api_search_scopus.json,0,
cd514214b198,Digital multiplex ligation-dependent probe amplification identifies exon-level copy number variants in patients with suspected hereditary cancer and negative next-generation sequencing results,Durmaz C.D.,2026,Molecular Biology Reports,10.1007/s11033-026-11541-3,,,scopus,api_search_scopus.json,0,
63cce3800cff,Microbiota-derived IPA mitigates post-stroke neuroinflammation by inhibiting TREM2-dependent pyroptosis,Chen J.M.,2026,Journal of Neuroinflammation,10.1186/s12974-025-03660-8,,,scopus,api_search_scopus.json,0,
d5ce1fb7aea7,Whole-genome analysis and fermentation-metabolite profiling of a cellulolytic Arthrobacter sp. FMD isolated from forest musk-deer faeces,Han H.,2026,BMC Microbiology,10.1186/s12866-025-04441-2,,,scopus,api_search_scopus.json,0,
bd8295a6d3cf,Senescence-driven molecular subtyping in pancreatic cancer: a multi-omics framework for precision medicine,Shi M.,2026,BMC Cancer,10.1186/s12885-025-15341-z,,,scopus,api_search_scopus.json,0,
e4bb29877b23,The fecal resistome of beef cattle from conventional grain-fed and grass-fed systems in the Western United States,Feng Y.,2026,BMC Microbiology,10.1186/s12866-025-04562-8,,,scopus,api_search_scopus.json,0,
8f432acb4b91,AdipoRon promotes angiogenesis in B-cell leukemia by modulating pro-angiogenic factors through AdipoR1,Mallardo M.,2026,Molecular Biology Reports,10.1007/s11033-025-11183-x,,,scopus,api_search_scopus.json,0,
0e8897fda83c,"Genetic and virulence analysis of carbapenem-resistant Pseudomonas aeruginosa in farm animals in Shandong province, China: implications for human health",Li C.A.,2026,BMC Microbiology,10.1186/s12866-025-04558-4,,,scopus,api_search_scopus.json,0,
c606263cadde,Gut microbiome-derived indole-3-carboxaldehyde promotes intestinal development via AHR-NRF2 signaling in the early-life of chicks,Huang Y.X.,2026,Microbiome,10.1186/s40168-025-02289-2,,,scopus,api_search_scopus.json,0,
5f87dab00fe3,"Multi-omic profiling and preclinical efficacy of fratricide-driven, unedited CD7 CAR-T cells in T-cell leukemia",Freile J.Á.,2026,Journal of Translational Medicine,10.1186/s12967-026-07701-5,,,scopus,api_search_scopus.json,0,
8499de89470c,Genomic and phenotypic diversity among taxonomically ambiguous clinical Corynebacterium isolates,Brüggemann H.,2026,BMC Microbiology,10.1186/s12866-025-04619-8,,,scopus,api_search_scopus.json,0,
6a91efccfe86,A study on a hybrid autoencoder–QLSTM model for time series forecasting based on quantum machine learning,Jang H.,2026,Quantum Machine Intelligence,10.1007/s42484-026-00346-z,,,scopus,api_search_scopus.json,0,
717ee8925448,MPS-VMC: A high-performance matrix product state variational Monte Carlo Solver for ab initio quantum chemistry,Xu Z.,2026,Computer Physics Communications,10.1016/j.cpc.2026.110057,,,scopus,api_search_scopus.json,0,
bfd3458cc95c,Quantifying adoption: A SEM study of quantum software technology in software development,Lambiase S.,2026,Empirical Software Engineering,10.1007/s10664-026-10805-7,,,scopus,api_search_scopus.json,0,
d572b9eac6a0,Enhancing precision of environment parameters estimation via frequency modulation,Zhang X.Q.,2026,Annals of Physics,10.1016/j.aop.2026.170396,,,scopus,api_search_scopus.json,0,
cfa67da5baa4,"Dynamic Gastrointestinal Simulation Reveals that Short-Term Mango Purée Feeding Modulates (Poly)phenol Metabolism, Gut Microbiota and Metabolic Activity",Cáceres-Jiménez S.,2026,Food Research International,10.1016/j.foodres.2026.118755,,,scopus,api_search_scopus.json,0,
3d2c51d0d978,Unveiling temporal dynamics of microbiomes and ARGs in apple cultivation ecosystems: microenvironment-specific patterns and management impacts,Shen Y.,2026,Food Research International,10.1016/j.foodres.2026.118697,,,scopus,api_search_scopus.json,0,
d62ccc956653,Advanced measurement techniques in quantum Monte Carlo: The permutation matrix representation approach,Ezzell N.,2026,Computer Physics Communications,10.1016/j.cpc.2026.110019,,,scopus,api_search_scopus.json,0,
895374b13a0d,A quantum Monte Carlo algorithm for arbitrary high-spin Hamiltonians,Babakhani A.,2026,Computer Physics Communications,10.1016/j.cpc.2026.110037,,,scopus,api_search_scopus.json,0,
7dd14f7ae036,ACFlow 2.0: An open source toolkit for analytic continuation of quantum Monte Carlo data,Huang L.,2026,Computer Physics Communications,10.1016/j.cpc.2026.110038,,,scopus,api_search_scopus.json,0,
