paper_id,ai_decision,ai_rank,ai_confidence
4a097a9af71b,include,1,0.6740
2c54170735ba,include,2,0.6727
e505ff143d95,include,3,0.6725
f4070b9e0ca0,include,4,0.6725
e98b1c47ed53,include,5,0.6724
4169f8f80eb9,include,6,0.6719
f88bb4cc0c22,include,7,0.6717
11b5fa9e48c6,include,8,0.6714
7aac2237419b,include,9,0.6707
5ff0639f0795,include,10,0.6695
d27e45a26478,include,11,0.6691
6149c14b492e,include,12,0.6689
8c4a762ab780,include,13,0.6686
07c021c2ac66,include,14,0.6671
8d08019fb608,include,15,0.6671
81524ed5f23c,include,16,0.6670
0a93e593b622,include,17,0.6668
2696bd237191,include,18,0.6666
b10591681791,include,19,0.6665
e35ec32a7538,include,20,0.6664
a8739640129b,include,21,0.6660
a75f8f16f267,include,22,0.6657
ae1e3d84fe2f,include,23,0.6657
0fb65bb44954,include,24,0.6656
4a6b7f9ddc5a,include,25,0.6655
96b0e5014fca,include,26,0.6655
a519a5621884,include,27,0.6654
7c11ab76f3d9,include,28,0.6654
1c4934de7d9a,include,29,0.6652
5320ba42c1ca,include,30,0.6651
25b9eceec1f2,include,31,0.6650
29f4e9099932,include,32,0.6650
89693038cbd7,include,33,0.6650
695f22410220,include,34,0.6650
19f86b687f0a,include,35,0.6648
989278ccde89,include,36,0.6647
5781ce30742b,include,37,0.6646
2bb96fecae4b,include,38,0.6646
1d61dc8cc386,include,39,0.6646
5055abe66b26,include,40,0.6644
ad0844abb348,include,41,0.6643
502f623ee8c4,include,42,0.6643
28128a9eadd9,include,43,0.6643
21e9746e62c2,include,44,0.6641
83d92c34b411,include,45,0.6641
fc8bb7927b37,include,46,0.6640
9c4d41df3a8f,include,47,0.6639
099e3e1f58a8,include,48,0.6639
12db2c40fc32,include,49,0.6638
685e76bf45ae,include,50,0.6638
f9a89dd17800,include,51,0.6638
f9e5b6ee139d,include,52,0.6637
fbd8c3e3015a,include,53,0.6637
b9054ea1a95e,include,54,0.6637
c7c7d7851588,include,55,0.6636
a5b68f8e6d90,include,56,0.6636
075a4a34de90,include,57,0.6636
55496bcdeaa7,include,58,0.6636
ef7a18930d8c,include,59,0.6635
1eb3ed7b2091,include,60,0.6635
2a0770a1a995,include,61,0.6635
fb499d357762,include,62,0.6634
1ef2c5762174,include,63,0.6634
2dc8d62cecac,include,64,0.6633
5b5fd3a147af,include,65,0.6633
0bbf821c8446,include,66,0.6633
c8872ea43678,include,67,0.6633
d169bf320747,include,68,0.6632
0a96ec74c59f,include,69,0.6632
eea90e6f38d7,include,70,0.6632
7c6e8af63f61,include,71,0.6632
090ce79070cb,include,72,0.6632
f1230f002e43,include,73,0.6631
6f57be104b9d,include,74,0.6631
470b798927ef,include,75,0.6631
14b74e1f6b87,include,76,0.6631
1b63c3136291,include,77,0.6631
0e2942155b17,include,78,0.6630
0d70169cb87f,include,79,0.6630
d01537e3fcac,include,80,0.6630
a0e970f7273f,include,81,0.6630
3bb8af1eea30,include,82,0.6629
954608913b5d,include,83,0.6629
682f284c5e8a,include,84,0.6629
f9c9d91544fe,include,85,0.6629
e660a62416d5,include,86,0.6629
ecd17525083d,include,87,0.6628
e95df371539d,include,88,0.6627
b72ac297d67e,include,89,0.6627
f792c5e92b0c,include,90,0.6627
913ebd42e6a2,include,91,0.6627
9cd06f2b8d59,include,92,0.6626
9636cfb13bd3,include,93,0.6626
11ff02556b47,include,94,0.6626
78f5cf8e7205,include,95,0.6626
7e0bccd34042,include,96,0.6626
4b3a898e67f5,include,97,0.6626
100335736ba1,include,98,0.6626
cd5dc35d5f39,include,99,0.6625
12a26364b038,include,100,0.6625
3c1b7774da65,include,101,0.6625
c8f73887462d,include,102,0.6625
17e05278776e,include,103,0.6625
f97ac6971e20,include,104,0.6624
a6fa5e6bf8b8,include,105,0.6624
fe2c5daa8bb0,include,106,0.6624
05a01a257cc7,include,107,0.6624
cde1c896dc3c,include,108,0.6624
b155d83ad4b5,include,109,0.6623
324dfeb78602,include,110,0.6623
0a1f9315f6a7,include,111,0.6622
4f6d203f9c8b,include,112,0.6622
a2af699e0cea,include,113,0.6622
c915be959ff5,include,114,0.6622
dd846d58c0b9,include,115,0.6622
24946c5b6c21,include,116,0.6622
67ef832f18a2,include,117,0.6622
e3434caf5201,include,118,0.6622
75cd91455541,include,119,0.6621
9ee655919eab,include,120,0.6621
74c6ac2ca350,include,121,0.6621
69bfce9095d0,include,122,0.6620
39e897283cac,include,123,0.6620
26e27073cdc6,include,124,0.6620
c4e919f71785,include,125,0.6620
f190da5cb928,include,126,0.6620
f36999c41a3a,include,127,0.6619
7383abb7624d,include,128,0.6619
e35ea72a378e,include,129,0.6619
822dbee7acfe,include,130,0.6619
8bb4c5424927,include,131,0.6619
e6ece474516c,include,132,0.6618
95ecf8c43fd1,include,133,0.6618
02db829631f9,include,134,0.6618
8908fea924fc,include,135,0.6618
f5b08b61bcf9,include,136,0.6618
a28219f1533f,include,137,0.6618
b887579f0e85,include,138,0.6618
99e391ee5e85,include,139,0.6618
e26fb3213b2d,include,140,0.6617
1d49f2843829,include,141,0.6617
28572e72bea8,include,142,0.6617
043b5343fb3d,include,143,0.6617
105efb709ca9,include,144,0.6617
3c79c53d5d90,include,145,0.6617
d8015cdf389e,include,146,0.6616
cb19eb039ea0,include,147,0.6616
b43110ee807d,include,148,0.6616
25a848404367,include,149,0.6615
7d9c1f3a2af2,include,150,0.6615
798667d343b2,include,151,0.6615
775d4b298ecd,include,152,0.6615
414fc4a75df0,include,153,0.6615
01fa1953181a,include,154,0.6614
726829eb320c,include,155,0.6614
