paper_id,title,abstract,authors,year,doi
8d08019fb608,Applications of Quantum Machine Learning for Quantitative Finance,"Machine learning and quantum machine learning (QML) have gained significant importance, as they offer powerful tools for tackling complex computational problems across various domains. This work gives an extensive overview of QML uses in quantitative finance, an important discipline in the financial industry. We examine the connection between quantum computing and machine learning in financial applications, spanning a range of use cases including fraud detection, underwriting, Value at Risk, stock market prediction, portfolio optimization, and option pricing by overviewing the corpus of literature concerning various financial subdomains.",Piotr Mironowicz; Akshata Shenoy H.; Antonio Mandarino; A. Ege Yilmaz; Thomas Ankenbrand,2024,
c434305b37fb,Quantum Circuit-Based Adaptation for Credit Risk Analysis,"Noisy and Intermediate-Scale Quantum, or NISQ, processors are sensitive to noise, prone to quantum decoherence, and are not yet capable of continuous quantum error correction for fault-tolerant quantum computation. Hence, quantum algorithms designed in the pre-fault-tolerant era cannot neglect the noisy nature of the hardware, and investigating the relationship between quantum hardware performance and the output of quantum algorithms is essential. In this work, we experimentally study how hardware-aware variational quantum circuits on a superconducting quantum processing unit can model distributions relevant to specific use-case applications for Credit Risk Analysis, e.g., standard Gaussian distributions for latent factor loading in the Gaussian Conditional Independence model. We use a transpilation technique tailored to the specific quantum hardware topology, which minimizes gate depth and connectivity violations, and we calibrate the gate rotations of the circuit to achieve an optimized output from quantum algorithms. Our results demonstrate the viability of quantum adaptation on a small-scale, proof-of-concept model inspired by financial applications and offer a good starting point for understanding the practical use of NISQ devices.",Halima Giovanna Ahmad; Alessandro Sarno; Mehdi El Bakraoui; Carlo Cosenza; Clément Bésoin; Francesca Cibrario; Valeria Zaffaroni; Giacomo Ranieri; Roberto Bertilone; Viviana Stasino; Pasquale Mastrovito; Francesco Tafuri; Davide Massarotti; Leonardo Chabbra; Davide Corbelletto,2026,
3c79c53d5d90,Portfolio Optimization with Digitized-Counterdiabatic Quantum Algorithms,"We consider digitized-counterdiabatic quantum computing as an advanced paradigm to approach quantum advantage for industrial applications in the NISQ era. We apply this concept to investigate a discrete mean-variance portfolio optimization problem, showing its usefulness in a key finance application. Our analysis shows a drastic improvement in the success probabilities of the resulting digital quantum algorithm when approximate counterdiabatic techniques are introduced. Along these lines, we discuss the enhanced performance of our methods over variational quantum algorithms like QAOA and DC-QAOA.",N. N. Hegade; P. Chandarana; K. Paul; X. Chen; F. Albarrán-Arriagada; E. Solano,2021,10.1103/PhysRevResearch.4.043204
ad0844abb348,PO-QA: A Framework for Portfolio Optimization using Quantum Algorithms,"Portfolio Optimization (PO) is a financial problem aiming to maximize the net gains while minimizing the risks in a given investment portfolio. The novelty of Quantum algorithms lies in their acclaimed potential and capability to solve complex problems given the underlying Quantum Computing (QC) infrastructure. Utilizing QC's applicable strengths to the finance industry's problems, such as PO, allows us to solve these problems using quantum-based algorithms such as Variational Quantum Eigensolver (VQE) and Quantum Approximate Optimization Algorithm (QAOA). While the Quantum potential for finance is highly impactful, the architecture and composition of the quantum circuits have not yet been properly defined as robust financial frameworks/algorithms as state of the art in present literature for research and design development purposes. In this work, we propose a novel scalable framework, denoted PO-QA, to systematically investigate the variation of quantum parameters (such as rotation blocks, repetitions, and entanglement types) to observe their subtle effect on the overall performance. In our paper, the performance is measured and dictated by convergence to similar ground-state energy values for resultant optimal solutions by each algorithm variation set for QAOA and VQE to the exact eigensolver (classical solution). Our results provide effective insights into comprehending PO from the lens of Quantum Machine Learning in terms of convergence to the classical solution, which is used as a benchmark. This study paves the way for identifying efficient configurations of quantum circuits for solving PO and unveiling their inherent inter-relationships.",Kamila Zaman; Alberto Marchisio; Muhammad Kashif; Muhammad Shafique,2024,
9eb296f23a10,A Modular Engine for Quantum Monte Carlo Integration,"We present the Quantum Monte Carlo Integration (QMCI) engine developed by Quantinuum. It is a quantum computational tool for evaluating multi-dimensional integrals that arise in various fields of science and engineering such as finance. This white paper presents a detailed description of the architecture of the QMCI engine, including a variety of distribution-loading methods, a novel quantum amplitude estimation method that improves the statistical robustness of QMCI calculations, and a library of statistical quantities that can be estimated. The QMCI engine is designed with modularity in mind, allowing for the continuous development of new quantum algorithms tailored in particular to financial applications. Additionally, the engine features a resource mode, which provides a precise resource quantification for the quantum circuits generated. The paper also includes extensive benchmarks that showcase the engine's performance, with a focus on the evaluation of various financial instruments.",Ismail Yunus Akhalwaya; Adam Connolly; Roland Guichard; Steven Herbert; Cahit Kargi; Alexandre Krajenbrink; Michael Lubasch; Conor Mc Keever; Julien Sorci; Michael Spranger; Ifan Williams,2023,
e366a47d08de,"Quantum Monte Carlo simulations for financial risk analytics: scenario generation for equity, rate, and credit risk factors","Monte Carlo (MC) simulations are widely used in financial risk management, from estimating value-at-risk (VaR) to pricing over-the-counter derivatives. However, they come at a significant computational cost due to the number of scenarios required for convergence. If a probability distribution is available, Quantum Amplitude Estimation (QAE) algorithms can provide a quadratic speed-up in measuring its properties as compared to their classical counterparts. Recent studies have explored the calculation of common risk measures and the optimisation of QAE algorithms by initialising the input quantum states with pre-computed probability distributions. If such distributions are not available in closed form, however, they need to be generated numerically, and the associated computational cost may limit the quantum advantage. In this paper, we bypass this challenge by incorporating scenario generation -- i.e. simulation of the risk factor evolution over time to generate probability distributions -- into the quantum computation; we refer to this process as Quantum MC (QMC) simulations. Specifically, we assemble quantum circuits that implement stochastic models for equity (geometric Brownian motion), interest rate (mean-reversion models), and credit (structural, reduced-form, and rating migration credit models) risk factors. We then integrate these models with QAE to provide end-to-end examples for both market and credit risk use cases.",Titos Matsakos; Stuart Nield,2023,10.22331/q-2024-04-04-1306
25b9eceec1f2,Performance Comparison of QAOA Mixers for Ternary Portfolio Optimization,"The Quantum Approximate Optimization Algorithm (QAOA) is a quantum algorithm proposed for Noisy Intermediate-Scale Quantum (NISQ) devices and is regarded as a promising approach to combinatorial optimization problems, with potential applications in the financial sector. In this study, we apply QAOA to the portfolio optimization problem, which is one of the central challenges in financial engineering. A portfolio consists of a combination of multiple assets, and the portfolio optimization problem aims to determine the optimal asset allocation by balancing expected return and risk. In the context of quantum optimization, portfolio optimization is often formulated using discrete variables. Unlike conventional binary formulations, we consider a ternary portfolio optimization problem that accounts for three states-holding, not holding, and short selling-and compare its performance using different mixer operators. Specifically, we implement QAOA with the standard mixer and several XY Mixers (XY Ring, XY Parity Ring, XY Full, and QAMPA), and conducted simulations using real data based on the German stock index (DAX 30) for portfolios consisting of 5 and 8 assets. Furthermore, we introduce noise based on a depolarizing channel to investigate the behavior of the algorithm in realistic environments. The results show that while XY Mixers exhibit superiority in noiseless settings, their advantage degrades in noisy environments, and the optimal choice of mixer depends on both the number of QAOA depths and the noise strength.",Shintaro Yamamura; Satoshi Watanabe; Masaya Kunimi; Kazuhiro Saito; Tetsuro Nikuni,2026,
1bf880322e6f,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,"This paper explores advancements in quantum algorithms for derivative pricing of exotics, a computational pipeline of fundamental importance in quantitative finance. For such cases, the classical Monte Carlo integration procedure provides the state-of-the-art provable, asymptotic performance: polynomial in problem dimension and quadratic in inverse-precision. While quantum algorithms are known to offer quadratic speedups over classical Monte Carlo methods, end-to-end speedups have been proven only in the simplified setting over the Black-Scholes geometric Brownian motion (GBM) model. This paper extends existing frameworks to demonstrate novel quadratic speedups for more practical models, such as the Cox-Ingersoll-Ross (CIR) model and a variant of Heston's stochastic volatility model, utilizing a characteristic of the underlying SDEs which we term fast-forwardability. Additionally, for general models that do not possess the fast-forwardable property, we introduce a quantum Milstein sampler, based on a novel quantum algorithm for sampling Lévy areas, which enables quantum multi-level Monte Carlo to achieve quadratic speedups for multi-dimensional stochastic processes exhibiting certain correlation types.   We also present an improved analysis of numerical integration for derivative pricing, leading to substantial reductions in the resource requirements for pricing GBM and CIR models. Furthermore, we investigate the potential for additional reductions using arithmetic-free quantum procedures. Finally, we critique quantum partial differential equation (PDE) solvers as a method for derivative pricing based on amplitude estimation, identifying theoretical barriers that obstruct achieving a quantum speedup through this approach. Our findings significantly advance the understanding of quantum algorithms in derivative pricing, addressing key challenges and open questions in the field.",Dylan Herman; Yue Sun; Jin-Peng Liu; Marco Pistoia; Charlie Che; Rob Otter; Shouvanik Chakrabarti; Aram Harrow,2026,
0a824fa99e38,Implementing Credit Risk Analysis with Quantum Singular Value Transformation,"The analysis of credit risk is crucial for the efficient operation of financial institutions. Quantum Amplitude Estimation (QAE) offers the potential for a quadratic speed-up over classical methods used to estimate metrics such as Value at Risk (VaR) and Conditional Value at Risk (CVaR). However, numerous limitations remain in efficiently scaling the implementation of quantum circuits that solve these estimation problems. One of the main challenges is the use of costly and restrictive arithmetic that must be implemented within the quantum circuit. In this paper, we propose using Quantum Singular Value Transformation (QSVT) to significantly reduce the cost of implementing the state preparation operator, which underlies QAE for credit risk analysis. We also present an end-to-end code implementation and the results of a simulation study to validate the proposed approach and demonstrate its benefits.",Davide Veronelli; Francesca Cibrario; Emanuele Dri; Valeria Zaffaroni; Giacomo Ranieri; Davide Corbelletto; Bartolomeo Montrucchio,2025,
e4bb7333aaa5,Variational quantum eigensolver with linear depth problem-inspired ansatz for solving portfolio optimization in finance,"Great efforts have been dedicated in recent years to explore practical applications for noisy intermediate-scale quantum (NISQ) computers, which is a fundamental and challenging problem in quantum computing. As one of the most promising methods, the variational quantum eigensolver (VQE) has been extensively studied. In this paper, VQE is applied to solve portfolio optimization problems in finance by designing two hardware-efficient Dicke state ansatze that reach a maximum of 2n two-qubit gate depth and n^2/4 parameters, with n being the number of qubits used. Both ansatze are partitioning-friendly, allowing for the proposal of a highly scalable quantum/classical hybrid distributed computing (HDC) scheme. Combining simultaneous sampling, problem-specific measurement error mitigation, and fragment reuse techniques, we successfully implement the HDC experiments on the superconducting quantum computer Wu Kong with up to 55 qubits. The simulation and experimental results illustrate that the restricted expressibility of the ansatze, induced by the small number of parameters and limited entanglement, is advantageous for solving classical optimization problems with the cost function of the conditional value-at-risk (CVaR) for the NISQ era and beyond. Furthermore, the HDC scheme shows great potential for achieving quantum advantage in the NISQ era. We hope that the heuristic idea presented in this paper can motivate fruitful investigations in current and future quantum computing paradigms.",Shengbin Wang; Peng Wang; Guihui Li; Shubin Zhao; Dongyi Zhao; Jing Wang; Yuan Fang; Menghan Dou; Yongjian Gu; Yu-Chun Wu; Guo-Ping Guo,2024,10.1007/s11432-024-4185-1
