paper_id,decision_reviewer_A,decision_reviewer_B,conflict,final_decision,exclusion_reason,tier2_applicable,notes
001f5dbe487a,include,include,no,include,,,
0030bd185e0d,include,include,no,include,,,
0067a26ce270,include,include,no,include,,,
00c17032f4af,include,include,no,include,,,
00e181896bba,include,include,no,include,,,
01326ce2213f,include,include,no,include,,,
01877ad38ab2,include,include,no,include,,,
01a1ecaddb94,include,include,no,include,,,
01e7ba36bcfc,include,include,no,include,,,
026a7b6919fc,include,include,no,include,,,
02db829631f9,include,include,no,include,,,
04326473e1bb,include,include,no,include,,,
043b5343fb3d,include,include,no,include,,,
045306ad1a16,include,include,no,include,,,
0525be4c60fb,include,include,no,include,,,
05a01a257cc7,include,include,no,include,,,
06019399445b,include,include,no,include,,,
0608ad48d5b8,include,include,no,include,,,
060ebc7a91c0,include,include,no,include,,,
06c5f405d529,include,include,no,include,,,
06db2582a06a,include,include,no,include,,,
06fdf18c23c4,include,include,no,include,,,
0757b9aa9a3b,include,include,no,include,,,
075a4a34de90,include,include,no,include,,,
076cb93860b0,include,include,no,include,,,
0801deffcfa4,include,include,no,include,,,
081132e62980,include,include,no,include,,,
081dbc9360d1,include,include,no,include,,,
082f292f8c48,include,include,no,include,,,
090ce79070cb,include,include,no,include,,,
0a1f9315f6a7,include,include,no,include,,,
0a824fa99e38,include,include,no,include,,,
0a96ec74c59f,include,include,no,include,,,
0ab110ae249c,include,include,no,include,,,
0ab4724fd60f,include,include,no,include,,,
0b40a3e55edc,include,include,no,include,,,
0b549647c8e5,include,include,no,include,,,
0c49909a73ca,include,include,no,include,,,
0cfd33edfd1a,include,include,no,include,,,
0d4d912721cf,include,include,no,include,,,
0d70169cb87f,include,include,no,include,,,
0df7a9f2fffd,include,include,no,include,,,
0e18f027f93b,include,include,no,include,,,
0e2942155b17,include,include,no,include,,,
0e9ded454de6,include,include,no,include,,,
0eb7690657f2,include,include,no,include,,,
0f3a64e9e3ed,include,include,no,include,,,
0f5c4894ccb6,include,include,no,include,,,
0fb65bb44954,include,include,no,include,,,
0fb8e2505865,include,include,no,include,,,
10832c99e683,include,include,no,include,,,
109c9406f3df,include,include,no,include,,,
10a2f644907f,include,include,no,include,,,
10be86fe1795,include,include,no,include,,,
10e947e4e6c8,include,include,no,include,,,
115e509ec529,include,include,no,include,,,
11807719b419,include,include,no,include,,,
119578338c9e,include,include,no,include,,,
11aa443287c0,include,include,no,include,,,
11ff02556b47,include,include,no,include,,,
1292782ed153,include,include,no,include,,,
12a26364b038,include,include,no,include,,,
12e854ac62a4,include,include,no,include,,,
1312e9d3c55e,include,include,no,include,,,
13544c1e7414,include,include,no,include,,,
135bf0e19b10,include,include,no,include,,,
136790c5fbc5,include,include,no,include,,,
146a99b9b311,include,include,no,include,,,
14777484b99d,include,include,no,include,,,
148be08400da,include,include,no,include,,,
14b3e6b32874,include,include,no,include,,,
14ceb7e36df7,include,include,no,include,,,
1502fad8d8ac,include,include,no,include,,,
157054b518f8,include,include,no,include,,,
163d8d584a33,include,include,no,include,,,
1694a492105e,include,include,no,include,,,
16d418f1da92,include,include,no,include,,,
17229c637aaf,include,include,no,include,,,
17382b2fd33a,include,include,no,include,,,
173cd12aee6b,include,include,no,include,,,
1760158c7e1b,include,include,no,include,,,
176f4217cb91,include,include,no,include,,,
17bf34700dca,include,include,no,include,,,
183eee816106,include,include,no,include,,,
1858371f4c44,include,include,no,include,,,
1938aae185de,include,include,no,include,,,
