paper_id,final_decision
b62275ba4e8f,include
cf8de5885b73,include
7c6e8af63f61,include
c7df20032013,include
169a37e1a08c,include
f761ba2b191d,include
ba1a4182e578,include
dcc9f218d7a2,include
a84beec5572b,include
ad0844abb348,include
e366a47d08de,include
25b9eceec1f2,include
24946c5b6c21,include
f123e5ead03b,include
4bfe441a5ebe,include
96baad0b46a9,include
d169bf320747,include
d85be19938f4,include
b799681e41da,include
1760158c7e1b,include
ed111831958f,include
6684e6c1b57f,include
9636cfb13bd3,include
34fc27290f18,include
95ecf8c43fd1,include
e6d5993eabdd,include
5781ce30742b,include
d1e6a91e7f11,include
9a08c18dcfb8,include
d3bf87c97dee,include
29f4e9099932,include
2dc8d62cecac,include
fbaaa4d89d56,include
7c795b799d02,include
aa432e276bff,include
4569d0df52ed,include
80db1bf3c910,include
a2b17048118b,include
e0b170657e2b,include
9b2873973a84,include
081132e62980,include
a9fb068595f2,include
d429e0713a3d,include
35c7b4d830d5,include
95a7b64bceac,include
f4883fc328d4,include
109c9406f3df,include
f96f14134a21,include
a64e9d084306,include
872cedb13e27,include
1292782ed153,include
bb0210fb8e67,include
34f8784d073c,include
cf5907049dbb,include
c574b9382bbf,include
b9898808569b,include
dca63675e36a,include
d20619dba60c,include
cb8728542b86,include
b155d83ad4b5,include
46db6505e091,include
8154d6cc12dd,include
5f5133229f76,include
0067a26ce270,include
d05bf542e350,include
39e897283cac,include
db0868f018ba,include
14e5ede92ee3,include
6bcd17241b59,include
e0532e9f1a61,include
1d44742c9e15,include
3c1b7774da65,include
349c85ac46df,include
e3ccb8cc6354,include
288305d31b7d,include
f3a41b21a780,include
89418437f51c,include
3b7d3889d285,include
1d715e0cd1aa,include
075a4a34de90,include
670ab0b08451,include
1f8bcb9fc16e,include
85e9109e6bb0,include
ba8e571f1e45,include
567af989cf1f,include
10be86fe1795,include
58e7ea9324df,include
173cd12aee6b,include
9700e75505fd,include
4f6bef33b4be,include
ecd17525083d,include
c7d33a63a50e,include
a9f80168c4a0,include
7f8c8060e256,include
8b25d3b8029a,include
41d2d7bb257a,include
76ee3cb38743,include
3adb18321a79,include
394c63b275d9,include
b9aa74e4bc0d,include
60a05fb7a728,include
8273c874208a,include
3c79c53d5d90,include
1bf880322e6f,include
e4bb7333aaa5,include
b10591681791,include
14b3e6b32874,include
49dc03e35036,include
05a01a257cc7,include
c8f73887462d,include
11aa443287c0,include
b43110ee807d,include
ce2db00aac7a,include
b6a55230434d,include
0fb65bb44954,include
8c9ba2aeaa90,include
eb9b2edee442,include
3f4c5ad6749d,include
7c11ab76f3d9,include
8bb4c5424927,include
2fe0d0f15604,include
ebbdd376073e,include
25a848404367,include
1a0d37057236,include
29cfef5a271e,include
a4777ce71497,include
1bad58b8e8e7,include
2c22225a38e7,include
c21e5c3f4079,include
374d8058ad85,include
75eee58caf3a,include
3a4b78215cc7,include
2322e385b8e7,include
4c50b01d13fe,include
afa84e1d94cf,include
9ee655919eab,include
78cc9d5068f3,include
28ab67c2d22a,include
cb19eb039ea0,include
2431edffd251,include
21e9746e62c2,include
10e947e4e6c8,include
48fad011ea47,include
7e636e790901,include
bda61984dab6,include
6ac0d0a3c55a,include
6bb18cfb9e04,include
2bb96fecae4b,include
cf803ec26409,include
add512163d77,include
00c17032f4af,include
6d38c9fcd7b6,include
3490f229360e,include
68b9ec9dea63,include
75cd91455541,include
5b5fd3a147af,include
da7ecd113b59,include
1f95f99e1c61,include
fe91ad8edae4,include
5f1b1731f44b,include
0df7a9f2fffd,include
7f5135581c08,include
f407c516e84f,include
