paper_id,decision_reviewer_A,decision_reviewer_B,conflict,final_decision,reason_code,notes
48b6b297cda4,exclude,exclude,no,exclude,,None
3d6d6393f792,include,include,no,include,,None
1760158c7e1b,include,include,no,include,,None
c7adafc69b75,exclude,exclude,no,exclude,,None
6b2b4f6ba298,exclude,exclude,no,exclude,,None
323683ff9874,include,include,no,include,,None
8ec2f4030249,exclude,exclude,no,exclude,,None
47688b4abd0b,exclude,exclude,no,exclude,,None
31ed6a5ae697,exclude,exclude,no,exclude,,"Interesting, not relevant"
f5b1f05fe558,exclude,exclude,no,exclude,,None
352499d09cdb,exclude,exclude,no,exclude,,None
346b80c33fe2,exclude,exclude,no,exclude,,None
41a852fada38,include,include,no,include,,None
ed02e34c2236,maybe,include,yes,include,,Would be helpful to develop the conceptual framework
cf803ec26409,include,include,no,include,,None
100335736ba1,exclude,exclude,no,exclude,,None
c1358ec0f6a6,include,include,no,include,,None
1bad58b8e8e7,include,include,no,include,,None
3a533a166c84,include,include,no,include,,None
d3bf87c97dee,include,include,no,include,,None
143b33c84fe7,exclude,exclude,no,exclude,,None
b97e7f0690c5,include,include,no,include,,None
aa0f8200d68f,include,include,no,include,,None
412a4331b358,include,include,no,include,,None
29cfef5a271e,include,include,no,include,,None
0d3d64f9594f,exclude,exclude,no,exclude,,None
9625db7084a9,exclude,exclude,no,exclude,,None
6682f67e2c33,exclude,exclude,no,exclude,,None
785cff4dbd07,exclude,maybe,yes,exclude,,This could support the limitations and state of the art framing.
9d465d7addba,exclude,exclude,no,exclude,,None
1dba8d03bdaf,exclude,maybe,yes,exclude,,"This could support the limitations and state of the art framing, though it sound over optimistic, we could raise awareness and critique."
1bf880322e6f,include,include,no,include,,None
9a4ba980a229,include,include,no,include,,None
3318d42b7459,include,include,no,include,,None
f93112e0b03a,include,include,no,include,,None
8fc35690e0bc,exclude,exclude,no,exclude,,None
824f8aa3a7f5,exclude,exclude,no,exclude,,None
955dd8044889,include,include,no,include,,None
34a559434eb1,include,include,no,include,,None
01326ce2213f,include,include,no,include,,None
3f6142d2645d,exclude,exclude,no,exclude,,None
76621edc33c1,exclude,exclude,no,exclude,,None
9b2873973a84,exclude,exclude,no,exclude,,None
dcc9f218d7a2,include,include,no,include,,None
7f91dcfbca63,maybe,include,yes,include,,None
0e57c18bd076,exclude,exclude,no,exclude,,None
992728baff7a,exclude,exclude,no,exclude,,None
bbd82caa4d1f,include,include,no,include,,None
9d47ed85632c,,,,,,None
7051dd63cfc8,exclude,,no,exclude,,None
2b48b0e90efa,include,,no,include,,None
c6422717f546,include,,no,include,,None
d21bf4bb49f1,include,,no,include,,None
f9a4ea0df88e,include,,no,include,,None
c94ec3a9d152,include,,no,include,,None
49f73c8cff66,exclude,,no,exclude,,None
d43914334783,exclude,,no,exclude,,None
da5f74409827,include,,no,include,,None
8022993f9403,exclude,,no,exclude,,None
4738fbde81a3,exclude,,no,exclude,,None
266f81b4ac03,exclude,,no,exclude,,None
7ed9c37834b6,exclude,,no,exclude,,None
7d0bd769efb7,exclude,,no,exclude,,None
602722add1d8,exclude,,no,exclude,,None
3d8b0fa826d2,exclude,,no,exclude,,None
800839d2eb3b,exclude,,no,exclude,,None
70ea1c02b928,exclude,,no,exclude,,None
52b1d7c50b82,include,,no,include,,None
1d7c5e5804a2,exclude,,no,exclude,,None
e0a04002122e,include,,no,include,,None
6112b0b66db3,exclude,,no,exclude,,None
c64928ef49e7,exclude,,no,exclude,,None
1bc4675bdbc6,include,,no,include,,None
9700e75505fd,include,,no,include,,None
1de0ca5e8cf2,include,,no,include,,None
258cef4e076f,exclude,,no,exclude,,None
17229c637aaf,include,,no,include,,None
69a4901976a9,include,,no,include,,None
3150f16bb064,exclude,,no,exclude,,None
c0bdb4f7322b,include,,no,include,,None
f67b13b40931,include,,no,include,,None
0ac0e371d0e6,exclude,,no,exclude,,None
99a18ebc75bb,exclude,,no,exclude,,None
8696d99d4b18,exclude,,no,exclude,,None
dfd464e83103,include,,no,include,,None
618a035e5260,include,,no,include,,None
5c9fef8c2825,include,,no,include,,None
dd846d58c0b9,include,,no,include,,None
00c17032f4af,include,,no,include,,None
25b9eceec1f2,include,,no,include,,None
7e0bccd34042,include,,no,include,,None
52e0df095385,exclude,,no,exclude,,None
995ce0e5e610,exclude,,no,exclude,,None
916504439e5c,exclude,,no,exclude,,None
b0458b5bc906,exclude,,no,exclude,,None
ac61a64ba260,exclude,,no,exclude,,None
a548908100f8,exclude,,no,exclude,,None
4e492b86e6c7,include,,no,include,,None
64522483ae83,include,,no,include,,None
157054b518f8,include,,no,include,,None
ee8df98c29e5,exclude,,no,exclude,,None
875c6cff09bb,exclude,,no,exclude,,None
593f3ec6b2cc,exclude,,no,exclude,,None
cfc22a0f0b6b,include,,no,include,,None
66a04943d594,exclude,,no,exclude,,None
c64e91a7d47d,exclude,,no,exclude,,None
4506b658dc59,exclude,,no,exclude,,None
ed0de8d44eff,include,,no,include,,None
135bf0e19b10,include,,no,include,,None
978c511d611a,exclude,,no,exclude,,None
ad4a32b0959a,exclude,,no,exclude,,None
5200a7e71a96,exclude,,no,exclude,,None
e68890c1f564,exclude,,no,exclude,,"not new method, but good secondary literature"
86ebf109f0fd,include,,no,include,,None
026a7b6919fc,include,,no,include,,None
e4bb7333aaa5,include,,no,include,,None
d95a84f9ce02,exclude,,no,exclude,,None
0067a26ce270,include,,no,include,,None
11ff02556b47,include,,no,include,,None
1741b5307653,exclude,,no,exclude,,None
cf0d84ba3b6a,include,,no,include,,None
439e311b1bba,exclude,,no,exclude,,None
623597ee0f9c,include,,no,include,,None
27524be1be57,exclude,,no,exclude,,None
05a01a257cc7,include,,no,include,,None
47166749a93e,include,,no,include,,None
a146239facf5,exclude,,no,exclude,,None
ab8ec0885239,include,,no,include,,None
23311f65fe2a,include,,no,include,,None
37cf5f16057c,exclude,,no,exclude,,None
c8c709dc67c3,include,,no,include,,None
356fe5baf984,exclude,,no,exclude,,None
97f724169c71,exclude,,no,exclude,,None
4328ac0ca25b,exclude,,no,exclude,,None
fcaf01bfdba0,exclude,,no,exclude,,None
e725aca0dd2a,exclude,,no,exclude,,None
215735d42d9c,exclude,,no,exclude,,None
249b9e3ca6ca,exclude,,no,exclude,,None
ead5abdcd847,exclude,,no,exclude,,None
2dc8d62cecac,include,,no,include,,None
296dd193c78f,include,,no,include,,None
53080a041da9,exclude,,no,exclude,,None
bee124984953,exclude,,no,exclude,,None
f792c5e92b0c,include,,no,include,,None
bf1a6c72261b,exclude,,no,exclude,,None
bf6db651f13b,exclude,,no,exclude,,None
8125642d9f68,exclude,,no,exclude,,None
2bcea2efd785,exclude,,no,exclude,,None
6879094fa857,exclude,,no,exclude,,None
cf30c27e711a,include,,no,include,,None
ed78d0e6e778,exclude,,no,exclude,,None
9d73451ea3ad,exclude,,no,exclude,,None
ac936695f2cd,exclude,,no,exclude,,None
9c4681ed0b36,exclude,,no,exclude,,None
3ef4b532205f,exclude,,no,exclude,,None
c0d24cf1b7ed,include,,no,include,,None
db557002f4a4,exclude,,no,exclude,,None
993fb6f2e1a5,exclude,,no,exclude,,None
0c0025fa8fb8,exclude,,no,exclude,,None
8d08019fb608,include,,no,include,,None
9f70845f4068,exclude,,no,exclude,,None
5beb1712456c,include,,no,include,,None
212caa67ef42,exclude,,no,exclude,,None
c6b117836d6f,exclude,,no,exclude,,None
b8ac945260d6,exclude,,no,exclude,,None
68e080ab39e8,exclude,,no,exclude,,None
596d3496c56c,include,,no,include,,None
49dc03e35036,include,,no,include,,None
47412220e1bb,include,,no,include,,None
ac4e3e3dcd95,exclude,,no,exclude,,None
e58ac4c8c6aa,exclude,,no,exclude,,None
cc1442611f8f,exclude,,no,exclude,,None
67f83161d410,include,,no,include,,None
4d0406b8b736,include,,no,include,,None
470b798927ef,include,,no,include,,None
95a7b64bceac,include,,no,include,,None
39e897283cac,include,,no,include,,None
2d0f0ad6fd20,exclude,,no,exclude,,None
2896abff2596,include,,no,include,,None
e83bed322a34,exclude,,no,exclude,,None
57ed01f77bc6,include,,no,include,,None
d71dfde2116a,exclude,,no,exclude,,None
7594aa350335,exclude,,no,exclude,,None
37afed13f605,exclude,,no,exclude,,None
bb3e39b724b5,exclude,,no,exclude,,None
2849bbcb864e,include,,no,include,,None
9105b7dc6da8,exclude,,no,exclude,,None
7d3e1c40ce3f,exclude,,no,exclude,,None
ba8e571f1e45,include,,no,include,,None
3f371d854702,exclude,,no,exclude,,None
1502fad8d8ac,include,,no,include,,None
d6356bf5a8a9,exclude,,no,exclude,,None
ba5afbcce6b8,include,,no,include,,None
0c1e775cac88,exclude,,no,exclude,,None
288305d31b7d,include,,no,include,,None
0cfd33edfd1a,include,,no,include,,None
c70ae91a70de,include,,no,include,,None
dfb5384e4aec,exclude,,no,exclude,,None
13cafedeef93,exclude,,no,exclude,,None
6e3ee30533e9,exclude,,no,exclude,,None
b51364274ad2,exclude,,no,exclude,,None
cab849abe702,include,,no,include,,None
1eb085c306aa,exclude,,no,exclude,,None
7d62a33fcd41,exclude,,no,exclude,,None
97554e190434,exclude,,no,exclude,,None
95ecf8c43fd1,include,,no,include,,None
97f8ca57e4d1,exclude,,no,exclude,,None
55025d58c227,include,,no,include,,None
7fcf835b5f74,exclude,,no,exclude,,None
f058d35a5f35,exclude,,no,exclude,,None
95588869d78d,exclude,,no,exclude,,None
bbae5f143d1d,exclude,,no,exclude,,None
12a26364b038,include,,no,include,,None
87ac65c206bd,include,,no,include,,None
a5926c6770dd,exclude,,no,exclude,,None
917752bb41f3,include,,no,include,,None
66f18ee7b813,include,,no,include,,None
7a16eea5653a,exclude,,no,exclude,,None
ba8b763050ae,include,,no,include,,None
14d183709128,exclude,,no,exclude,,None
0f5c4894ccb6,include,,no,include,,None
66969a83b1e5,exclude,,no,exclude,,None
a4777ce71497,include,,no,include,,None
3fb78ea9b31b,include,,no,include,,None
6f6905d8948a,exclude,,no,exclude,,None
17bf34700dca,include,,no,include,,None
10e947e4e6c8,include,,no,include,,None
5a3e1c66be6e,include,,no,include,,None
04f8c09bc88c,exclude,,no,exclude,,None
7b4855a804c1,include,,no,include,,None
b10591681791,include,,no,include,,None
2fc73ac36a13,exclude,,no,exclude,,None
34ee83ce9c9b,exclude,,no,exclude,,None
39d2802c1f8a,exclude,,no,exclude,,None
9ea18a0e8bfd,include,,no,include,,None
b4569ebabc11,exclude,,no,exclude,,None
07ffc6d017ba,include,,no,include,,None
5d534083c368,include,,no,include,,None
96934c448f44,exclude,,no,exclude,,None
e53a9047880e,include,,no,include,,None
bf58fe5bd197,exclude,,no,exclude,,None
2bb96fecae4b,include,,no,include,,None
045306ad1a16,include,,no,include,,None
4f428be7e7d7,exclude,,no,exclude,,None
3a3ba897009d,include,,no,include,,None
746946556c96,exclude,,no,exclude,,None
b230c4517f7e,exclude,,no,exclude,,None
2c08f167eefd,exclude,,no,exclude,,None
d2f77803f465,exclude,,no,exclude,,None
dde17bcf108e,exclude,,no,exclude,,None
8753123d70b7,exclude,,no,exclude,,None
39e897283cac,include,,no,include,,None
58470ab028ef,include,,no,include,,None
8273d16888f1,exclude,,no,exclude,,None
c56a3ba7d912,exclude,,no,exclude,,None
1131fdc73bf5,exclude,,no,exclude,,None
