paper_id,title,doi,doi_url,venue,year
0067a26ce270,Quantum algorithm for stochastic optimal stopping problems,,,arXiv (Cornell University),2021
00e181896bba,Pioneering Quantum Computing in Financial Services,10.4018/979-8-3373-2893-5.ch013,https://doi.org/10.4018/979-8-3373-2893-5.ch013,,2025
0608ad48d5b8,Pricing ﬁnancial derivatives with exponential quantum speedup,,,,2021
06c5f405d529,Quantum Computing For Health And Financial Decision-Making: Empowering Employees To Improve Life And Finance,10.2139/ssrn.5071354,https://doi.org/10.2139/ssrn.5071354,SSRN Electronic Journal,2025
06db2582a06a,Introduction to Quantum Computing,10.1201/9781003674566-1,https://doi.org/10.1201/9781003674566-1,Auerbach Publications eBooks,2026
0801deffcfa4,Harnessing Quantum Computing for Predictive Analysis,10.1201/9781003587835-4,https://doi.org/10.1201/9781003587835-4,Auerbach Publications eBooks,2026
0b549647c8e5,Scaling Analysis of Quantum Amplitude Estimation for Tokenized Asset Option Pricing: Validation and Barriers to Practical Advantage,10.13140/rg.2.2.18561.31849,https://doi.org/10.13140/rg.2.2.18561.31849,,2026
0d70169cb87f,A Comparative Study of Classical and Quantum Machine Learning for Large-Scale Financial Forecasting,10.64206/h26qc363,https://doi.org/10.64206/h26qc363,"Robotics, Autonomous, Machine Learning, and Artificial intelligence Journal",2024
0f3a64e9e3ed,Quantitative Analysis and Forecasting Techniques in Financial Markets: A 2022 Review,10.70088/wfwcn555,https://doi.org/10.70088/wfwcn555,Financial Economics Insights,2022
10832c99e683,Cost Savings Through Quantum AI-Driven Optimizations,10.4018/979-8-3373-4347-1.ch004,https://doi.org/10.4018/979-8-3373-4347-1.ch004,Advances in computational intelligence and robotics book series,2026
115e509ec529,Hybrid Quantum Market State Inference for Ultra-Short-Horizon Financial Prediction,10.5281/zenodo.17924888,https://doi.org/10.5281/zenodo.17924888,Zenodo (CERN European Organization for Nuclear Research),2025
119578338c9e,Quantum Finance: Revolutionizing Financial Markets with Quantum Computing,10.1201/9781003482154-6,https://doi.org/10.1201/9781003482154-6,Auerbach Publications eBooks,2025
1312e9d3c55e,Hybrid Quantum-Classical Machine Learning with PennyLane: A Comprehensive Guide for Computational Research,,,arXiv,2025
13544c1e7414,Quantum Machine Learning for Stock Price Movement Prediction,10.1007/978-981-95-2429-7_7,https://doi.org/10.1007/978-981-95-2429-7_7,Uncertainty and operations research,2025
135bf0e19b10,Performance evaluation of post quantum digital signature algorithms over WDM optical communication system,10.1515/joc-2025-0104,https://doi.org/10.1515/joc-2025-0104,Journal of Optical Communications,2025
157054b518f8,Quantum computing research: An in-depth exploration,10.1016/bs.adcom.2025.02.005,https://doi.org/10.1016/bs.adcom.2025.02.005,Advances in computers,2025
176f4217cb91,Explainable hybrid quantum neural networks for analyzing the influence of tweets on stock price prediction,10.1016/j.compeleceng.2024.109302,https://doi.org/10.1016/j.compeleceng.2024.109302,Computers & electrical engineering,2024
17bf34700dca,Capturing dynamics with noisy quantum computers,,,Leiden Repository (Leiden University),2026
