zotero_key,title,doi,year,item_type,doi_url
ID2ID7SZ,"&lt;div&gt; Multiplicative-Weights Methods and Gibbs-State Preparation for Conic Portfolio Optimization:&amp;nbsp;&lt;/div&gt;&lt;div&gt; A Mathematical Framework Connecting Quantum Algorithms, Jordan Algebras, and Quantitative Finance&lt;/div&gt;",10.2139/ssrn.6103666,2026,preprint,https://doi.org/10.2139/ssrn.6103666
JVKP9YXZ,11 A review of different techniques and challenges of quantum computing in various applications,10.1515/9783110798159-011,2023,bookSection,https://doi.org/10.1515/9783110798159-011
24EH84H7,11 Unveiling intelligence: exploring variational quantum circuits as machine learning models,10.1515/9783111342276-011,2024,journalArticle,https://doi.org/10.1515/9783111342276-011
29EJKSHK,<b><i>Application of Quantum Computing Algorithms for Optimization of Tactical Asset Allocation in <span>&nbsp;</span>Portfolio Management</i></b>,10.2139/ssrn.5257790,2025,preprint,https://doi.org/10.2139/ssrn.5257790
88ZZCCJE,A Comparative Analysis of Hybrid Quantum Neural Networks in Binary Credit Defaulting Tasks,10.1109/urtc60662.2023.10535032,2023,conferencePaper,https://doi.org/10.1109/urtc60662.2023.10535032
BMP5UGVG,A Comparative Study of Quantum Optimization Techniques for Solving Combinatorial Optimization Benchmark Problems,,2025,journalArticle,
QMIBJXTK,A Comparative Technique with Credit card based Fraud detection with Machine Learning and Quantum Algorithm,10.1109/icssas64001.2024.10760503,2024,conferencePaper,https://doi.org/10.1109/icssas64001.2024.10760503
388VBGMI,A Comprehensive Review of the Convergence of Quantum Computing and Finance,10.1109/AISummit66170.2025.11411648,2025,conferencePaper,https://doi.org/10.1109/AISummit66170.2025.11411648
TMH4WVD4,A Critical Analysis of a Multi-Input Cnn Architecture for Quantum-Enhanced Forecasting,10.1109/icdmw69685.2025.00428,2025,conferencePaper,https://doi.org/10.1109/icdmw69685.2025.00428
TCT6B4IZ,A Hybrid Quantum Wasserstein GAN with Applications to Option Pricing,10.2139/ssrn.4514510,2023,preprint,https://doi.org/10.2139/ssrn.4514510
V295ZMDP,A Hybrid Quantum-Classical Simulation Architecture for Catastrophe Tail Risk and Reinsurance Portfolio Optimization&amp;nbsp;,10.2139/ssrn.6295999,2026,preprint,https://doi.org/10.2139/ssrn.6295999
FPBN7ZFD,A Hybrid Quantum–Classical LSTM Approach for Predicting the Stock Market,10.1007/978-3-031-99786-0_4,2025,bookSection,https://doi.org/10.1007/978-3-031-99786-0_4
67D5QPZF,A New Stock Forecasting Model by Hidden Quantum Markov Models,10.1007/978-3-031-06788-4_37,2022,bookSection,https://doi.org/10.1007/978-3-031-06788-4_37
